id,title,is_paid,num_subscribers,avg_rating,num_reviews,num_published_lectures,num_published_practice_tests,discount_price__amount,price_detail__amount,price_detail__currency
1400386,Cryptocurrency Trading Course 2020: Achieve Wins Daily!,TRUE,19352,4.38696,5350,43,0,455.0,8640.0,INR
1347004,Understanding and developing Emotional Intelligence,TRUE,13396,4.19608,5177,21,0,474.0,3200.0,INR
1059278,Build a Shopify Dropshipping Business from Scratch,TRUE,23854,3.97959,5148,88,0,455.0,8640.0,INR
1356742,"The Complete Personal Finance Course: Save,Protect,Make More",TRUE,87181,4.54567,5018,122,0,455.0,8640.0,INR
129118,Product Management 101,TRUE,40950,4.46622,4960,67,0,462.0,1280.0,INR
540450,Complete Introduction to Business Data Analysis,TRUE,16937,4.50258,4903,53,0,455.0,6400.0,INR
43319,Options Trading Basics (3-Course Bundle),TRUE,28932,4.42527,4881,47,0,,9600.0,INR
335610,Writing With Confidence: Writing Beginner To Writing Pro,TRUE,35638,4.4038,4857,96,0,481.0,8960.0,INR
1311030,Process Flowcharts & Process Mapping - The Beginner's Guide,TRUE,22310,4.52025,4849,81,0,455.0,8640.0,INR
1163356,The Complete Project Management Fundamentals Course + CERT,TRUE,18460,4.29765,4837,65,1,481.0,8960.0,INR
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,TRUE,25454,4.39505,4811,90,0,455.0,8640.0,INR
806710,Microsoft Excel for Project Management  - Earn 5 PDUs,TRUE,21995,4.31962,4798,58,0,455.0,3200.0,INR
404944,Innovation Master Class,TRUE,14661,4.36619,4763,47,0,455.0,6400.0,INR
1361726,"Security Awareness Training, Internet Security for Employees",TRUE,15327,4.37005,4733,31,0,455.0,3200.0,INR
852192,Acumen Presents: Chris Anderson on Public Speaking,TRUE,26377,4.35714,4619,26,0,2880.0,8640.0,INR
1978132,The Project Management Course: Beginner to PROject Manager,TRUE,17036,4.56581,4616,99,0,494.0,9280.0,INR
328266,Project Management Professional (PMP)® - 35 Contact Hours,TRUE,27653,4.40769,4579,345,0,,12800.0,INR
1399954,Six Sigma Green Belt (With Excel Application) BKO Accredited,TRUE,14692,4.43296,4554,49,0,455.0,8640.0,INR
1173030,Conflict Management with Emotional Intelligence,TRUE,17167,4.37106,4508,83,0,455.0,8640.0,INR
301456,Certified Six Sigma Yellow Belt Training,TRUE,15562,4.52524,4466,125,0,1600.0,6400.0,INR
1918248,Project Management: Master Project Management - PMP/PMI,TRUE,13693,4.57537,4412,29,0,481.0,7680.0,INR
475170,Seth Godin's Freelancer Course,TRUE,24449,4.69697,4361,88,0,,12800.0,INR
856992,PMI-ACP Agile Certified Exam Prep - PMI REP 21 PDUs,TRUE,16519,4.51699,4345,91,0,455.0,8640.0,INR
942752,Master Course in Tableau 10 & 2020 for Business Intelligence,TRUE,18774,4.43962,4303,66,0,455.0,8640.0,INR
1415934,Management Skills - Team Leadership Skills Masterclass 2020,TRUE,25911,4.48485,4297,257,0,455.0,8640.0,INR
1362218,"Leadership: How to Influence, Inspire and Impact as a Leader",TRUE,13088,4.39762,4290,57,0,455.0,8640.0,INR
1025822,Business Analysis Modeling Skills & Techniques,TRUE,26338,4.5025,4240,75,0,488.0,8640.0,INR
746432,Start Trading Stocks Using Technical Analysis!,TRUE,17983,4.46687,4166,45,0,455.0,8640.0,INR
665152,Mastering Agile Scrum Project Management,TRUE,26047,4.27826,4163,301,0,,12800.0,INR
430604,12 Strategies for Dealing With Difficult People,TRUE,9995,4.38218,4132,18,0,455.0,2880.0,INR
1058614,Blogging Masterclass: How To Build A Successful Blog In 2020,TRUE,22578,4.55337,4073,85,0,455.0,8640.0,INR
482564,[2020] The Complete Management Skills Certification Course,TRUE,27968,4.33932,3914,71,0,494.0,8640.0,INR
943842,Business Analyst: Software Testing Processes & Techniques,TRUE,17839,4.39702,3869,31,0,455.0,7680.0,INR
1494648,Risk Management for Cybersecurity and IT Managers,TRUE,10964,4.52812,3868,24,0,455.0,6400.0,INR
585072,Culture | How to Make Team Decisions,TRUE,6978,4.32603,3855,11,0,455.0,1920.0,INR
1263000,Administrative Human Resources (HR) for Beginners,TRUE,9245,4.32892,3846,11,0,455.0,4800.0,INR
677348,Supply Chain Fundamentals:  Understanding the Basics,TRUE,12904,4.43758,3845,76,0,455.0,4480.0,INR
1476730,"Lean Leadership Skills, Lean Culture & Lean Management",TRUE,13754,4.48388,3824,81,0,455.0,8640.0,INR
815236,SPSS Masterclass: Learn SPSS From Scratch to Advanced,TRUE,15445,4.49911,3754,398,0,455.0,8640.0,INR
1449746,Business Development & B2B Sales for Startups- Sales Valley,TRUE,17226,4.52144,3742,35,0,455.0,8640.0,INR
1039210,Lean Management For All Sectors (Dutch BKO Accredited),TRUE,12864,4.54621,3672,37,0,455.0,8640.0,INR
508302,The Complete Product Management Course,TRUE,16218,4.39599,3665,87,0,455.0,8640.0,INR
985922,Excel Crash Course: Master Excel for Financial Analysis,TRUE,20258,4.39798,3668,40,0,462.0,2880.0,INR
1139966,ISO/IEC 27001. Information Security Management System.,TRUE,12506,4.36449,3657,57,0,455.0,5440.0,INR
1259060,The Complete QlikView Boot Camp,TRUE,16016,4.53636,3642,114,0,455.0,8640.0,INR
484114,Punctuation Mastery,TRUE,23044,4.44862,3626,37,0,455.0,8640.0,INR
1137208,The Foundations of Fiction (Writing Mastery),TRUE,21310,4.506,3587,56,0,455.0,6400.0,INR
260470,Forex Robots: Automate Your Trading - Forex Robot Included!,TRUE,28811,4.65399,3586,45,0,455.0,8640.0,INR
945766,Innovative Growth Strategy: A Beginner's Guide,TRUE,6153,4.4007,3589,23,0,455.0,3200.0,INR
1787702,The Complete Business Plan Course (Includes 50 Templates),TRUE,77373,4.60651,3576,62,0,455.0,8640.0,INR
285934,Ask Better Questions - Build Better Relationships,TRUE,13819,4.41452,3563,35,0,455.0,5440.0,INR
739390,Financial Planning & Analysis: Building a Company's Budget,TRUE,16756,4.32136,3557,30,0,455.0,8640.0,INR
619692,Learn to Sell Anything by Grant Cardone,TRUE,15174,4.41604,3543,58,0,800.0,3200.0,INR
1346422,UIPath RPA - Tech Primer,TRUE,11405,4.58471,3517,55,0,455.0,8640.0,INR
1059196,Business Skills: Email Etiquette Rules Everyone Should Know,TRUE,11653,4.40152,3430,22,0,455.0,6400.0,INR
909996,Navigate Diversity,TRUE,7453,4.36531,3422,24,0,455.0,1920.0,INR
1794901,"LinkedIn Marketing, Lead Generation & B2B Sales for LinkedIn",TRUE,14644,4.37332,3401,22,0,455.0,8640.0,INR
125808,World-Class HR: 21st Century Talent Management,TRUE,28894,4.31591,3394,18,0,455.0,3200.0,INR
934526,Developing Emotional Intelligence in Teams,TRUE,9475,4.40617,3372,51,0,455.0,8640.0,INR
1543984,The Real Estate Financial Modeling Bootcamp,TRUE,14308,4.66115,3356,122,0,455.0,8640.0,INR
646076,Agile Project Management: Scrum Step by Step with Examples,TRUE,83126,4.12876,3348,66,0,481.0,8960.0,INR
